,Bus Number,First Stop,Destination,Planned Time,Observed Time,Trip Status,Previous Stop,Previous Stop Time,Observed Previous Stop,Duration,Trip Duration
2,FlixBus • Bus 180,"Essen (Centraal Station, Freiheit)",Richting  Paris (Bercy Seine),18:05,18:05,Geannuleerd,Reims,16:10,16:10,1:55:00,11:15:00
1,FlixBus • Bus 754,Tours (Parkeerplaats Les Peupliers),Richting  Paris (Bercy Seine),18:05,18:15,Op tijd,Parijs (Luchthaven Orly),17:20,17:43,0:32:00,3:58:00
3,FlixBus • Bus 700,London Victoria Coach Station,Richting  Paris (Bercy Seine),18:10,18:10,Volgens schema,Calais (P&O veer),14:35,14:35,3:35:00,10:10:00
4,FlixBus • Bus 091,Budapest Népliget,Richting  Paris (Bercy Seine),18:20,18:20,Op tijd,Reims,16:30,16:30,1:50:00,20:59:00
5,FlixBus • Bus 803,Amsterdam Sloterdijk,Richting  Paris (Bercy Seine),18:25,18:13,Op tijd,Parijs Luchthaven Charles de Gaulle (Roissypole -Terminal 3),17:25,17:19,0:54:00,9:23:00
6,FlixBus • Bus 1755,Parijs (Luchthaven Orly),Richting  Lille,18:40,18:40,Op tijd,Parijs (Luchthaven Orly),18:00,18:00,0:40:00,0:40:00
7,FlixBus • Bus 1774,Caen (Central busstation vlakbij SNCF station),Richting  Paris (Bercy Seine),18:45,18:34,Op tijd,Paris (Pont de Sèvres),17:55,17:51,0:43:00,3:23:00
8,FlixBus • Bus 756,Reims,Richting  Paris (Bercy Seine),18:50,18:41,Op tijd,Reims,17:00,17:04,1:37:00,1:37:00
9,FlixBus • Bus 806,Brussel Zuidstation (Gare du Midi),Richting  Paris (Bercy Seine),19:10,19:25,Vertraagd,Brussel Zuidstation (Gare du Midi),15:10,14:50,4:35:00,4:35:00
10,FlixBus • Bus 822,Arnhem Centraal Station (Sonsbeekzijde),Richting  Parijs (Luchthaven Orly),19:35,20:11,Vertraagd,Brussel Noordstation (Gare du Nord),14:45,14:49,5:22:00,9:20:00
12,Bus N1320D,"Warschau (Busstation Zachodnia, West)",Richting  Paris (Bercy Seine),19:45,20:16,Vertraagd,Bonn UN Campus (Museumsmeile),13:25,13:51,6:25:00,"1 day, 1:17:00"
11,FlixBus • Bus N1320,"Warschau (Busstation Zachodnia, West)",Richting  Paris (Bercy Seine),19:45,19:46,Op tijd,Bonn UN Campus (Museumsmeile),13:25,13:44,6:02:00,"1 day, 0:36:00"
13,FlixBus • Bus 800,Amsterdam Sloterdijk,Richting  Paris (Bercy Seine),19:45,20:25,Vertraagd,Lille,16:35,16:52,3:33:00,9:12:00
14,FlixBus • Bus 479,Milaan (Busstation Lampugnano),Richting  Paris (Bercy Seine),19:55,10:33,Geannuleerd,Lausanne (P+R Vélodrome),12:50,12:50,"-1 day, 21:43:00",4:33:00
15,FlixBus • Bus 090,"Frankfurt (Centraal Station, Main)",Richting  Paris (Bercy Seine),20:00,20:38,Vertraagd,Reims,18:10,18:53,1:45:00,8:38:00
